Date,Pond_ID,AMMONIA_mg_L,DO_mg_L,PH,TEMP_C
2020-01-01,Station_A,0.21,6.9,8.0,28.4
2020-01-01,Station_B,0.15,5.12,8.1,28.4
2020-01-01,Station_C,0.11,6.94,8.1,26.8
2020-01-02,Station_A,0.16,5.61,7.9,27.7
2020-01-02,Station_B,0.28,5.28,7.7,27.5
2020-01-02,Station_C,0.34,5.4,7.9,28.4
2020-01-03,Station_A,0.28,5.34,7.5,29.8
2020-01-03,Station_B,0.34,5.61,7.6,28.7
2020-01-03,Station_C,0.14,5.99,7.5,29.6
2020-01-04,Station_A,0.3,5.62,7.9,28.2
2020-01-04,Station_B,0.39,6.55,8.2,29.6
2020-01-04,Station_C,0.38,5.18,7.6,26.2
2020-01-05,Station_A,0.22,5.54,8.1,27.4
2020-01-05,Station_B,0.26,5.28,8.1,26.3
2020-01-05,Station_C,0.33,5.4,7.5,29.3
2020-01-06,Station_A,0.32,6.54,7.6,27.4
2020-01-06,Station_B,0.36,6.25,7.7,26.3
2020-01-06,Station_C,0.2,6.46,7.9,29.5
2020-01-07,Station_A,0.14,6.43,8.0,28.2
2020-01-07,Station_B,0.25,6.05,7.8,26.1
2020-01-07,Station_C,0.11,6.27,7.7,28.0
2020-01-08,Station_A,0.17,5.82,8.0,26.9
2020-01-08,Station_B,0.19,5.32,8.2,29.2
2020-01-08,Station_C,0.36,6.61,7.6,29.6
2020-01-09,Station_A,0.34,6.79,7.7,26.4
2020-01-09,Station_B,0.23,6.64,8.1,26.0
2020-01-09,Station_C,0.23,5.44,7.6,27.4
2020-01-10,Station_A,0.2,6.04,8.0,27.5
2020-01-10,Station_B,0.39,5.5,7.8,27.2
2020-01-10,Station_C,0.11,6.22,7.9,26.2
2020-01-11,Station_A,0.37,5.48,7.6,28.0
2020-01-11,Station_B,0.17,6.34,8.0,27.0
2020-01-11,Station_C,0.21,6.26,7.9,28.1
2020-01-12,Station_A,0.35,5.64,7.6,26.2
2020-01-12,Station_B,0.3,5.03,7.9,26.9
2020-01-12,Station_C,0.15,6.38,7.8,29.7
2020-01-13,Station_A,0.2,5.23,8.1,29.5
2020-01-13,Station_B,0.3,6.63,7.9,28.1
2020-01-13,Station_C,0.13,6.79,8.1,28.5
2020-01-14,Station_A,0.2,6.45,8.1,29.5
2020-01-14,Station_B,0.29,5.17,7.6,29.6
2020-01-14,Station_C,0.1,5.2,8.0,26.0
2020-01-15,Station_A,0.26,6.38,8.0,26.9
2020-01-15,Station_B,0.17,5.65,8.0,28.6
2020-01-15,Station_C,0.3,6.14,7.6,27.5
2020-01-16,Station_A,0.17,6.95,7.8,29.6
2020-01-16,Station_B,0.34,6.01,7.9,28.0
2020-01-16,Station_C,0.32,5.56,7.5,28.6
2020-01-17,Station_A,0.38,6.91,8.1,27.5
2020-01-17,Station_B,0.38,5.86,8.2,29.9
2020-01-17,Station_C,0.19,5.77,8.1,27.3
2020-01-18,Station_A,0.27,6.87,8.0,28.3
2020-01-18,Station_B,0.28,6.98,7.6,28.1
2020-01-18,Station_C,0.32,6.39,8.0,27.4
2020-01-19,Station_A,0.34,6.62,8.1,29.7
2020-01-19,Station_B,0.25,6.6,8.0,28.8
2020-01-19,Station_C,0.37,5.68,7.8,26.4
2020-01-20,Station_A,0.11,5.93,7.9,27.1
2020-01-20,Station_B,0.11,5.07,8.1,27.4
2020-01-20,Station_C,0.26,6.54,7.7,28.5
2020-01-21,Station_A,0.12,6.06,7.9,28.5
2020-01-21,Station_B,0.39,6.03,7.7,29.2
2020-01-21,Station_C,0.23,5.16,7.5,29.9
2020-01-22,Station_A,0.31,5.82,7.6,26.6
2020-01-22,Station_B,0.26,6.43,8.0,27.1
2020-01-22,Station_C,0.32,6.11,7.9,27.7
2020-01-23,Station_A,0.21,6.52,7.5,26.5
2020-01-23,Station_B,0.11,6.71,8.0,27.9
2020-01-23,Station_C,0.25,5.95,7.6,27.7
2020-01-24,Station_A,0.28,6.27,7.5,27.5
2020-01-24,Station_B,0.25,6.71,8.0,26.7
2020-01-24,Station_C,0.29,5.05,7.9,29.8
2020-01-25,Station_A,0.22,6.29,7.8,28.2
2020-01-25,Station_B,0.22,6.92,8.1,26.8
2020-01-25,Station_C,0.13,5.04,7.6,28.7
2020-01-26,Station_A,0.2,6.69,7.5,29.3
2020-01-26,Station_B,0.14,6.39,7.9,29.5
2020-01-26,Station_C,0.34,5.56,7.6,29.0
2020-01-27,Station_A,0.4,5.83,7.8,29.1
2020-01-27,Station_B,0.38,6.72,7.8,29.0
2020-01-27,Station_C,0.13,6.81,7.9,29.3
2020-01-28,Station_A,0.37,5.78,7.5,29.6
2020-01-28,Station_B,0.2,6.9,8.2,28.3
2020-01-28,Station_C,0.23,5.59,7.7,28.7
2020-01-29,Station_A,0.34,6.58,7.6,28.0
2020-01-29,Station_B,0.26,5.88,8.1,27.4
2020-01-29,Station_C,0.14,6.52,7.9,26.4
2020-01-30,Station_A,0.31,5.15,8.1,28.8
2020-01-30,Station_B,0.13,6.97,7.8,27.5
2020-01-30,Station_C,0.38,6.97,8.0,27.5
2020-01-31,Station_A,0.33,6.12,7.8,29.6
2020-01-31,Station_B,0.25,5.02,7.8,26.2
2020-01-31,Station_C,0.14,6.3,8.0,28.3
2020-02-01,Station_A,0.21,5.57,8.1,26.9
2020-02-01,Station_B,0.1,6.94,7.5,29.6
2020-02-01,Station_C,0.4,5.15,7.9,29.9
2020-02-02,Station_A,0.29,6.39,7.8,28.5
2020-02-02,Station_B,0.37,5.09,7.7,29.8
2020-02-02,Station_C,0.24,6.24,7.7,26.8
2020-02-03,Station_A,0.21,6.17,7.6,29.9
2020-02-03,Station_B,0.31,6.07,7.7,29.3
2020-02-03,Station_C,0.15,6.82,8.1,29.8
2020-02-04,Station_A,0.28,5.84,8.2,29.5
2020-02-04,Station_B,0.11,5.75,8.1,29.9
2020-02-04,Station_C,0.28,5.76,8.2,29.4
2020-02-05,Station_A,0.24,5.83,7.7,26.2
2020-02-05,Station_B,0.34,7.0,8.2,28.2
2020-02-05,Station_C,0.38,6.7,7.7,27.8
2020-02-06,Station_A,0.39,6.21,7.7,28.7
2020-02-06,Station_B,0.21,5.23,8.0,28.1
2020-02-06,Station_C,0.26,6.7,7.9,28.2
2020-02-07,Station_A,0.22,5.27,7.5,29.0
2020-02-07,Station_B,0.31,5.43,7.6,26.1
2020-02-07,Station_C,0.28,5.78,7.8,29.6
2020-02-08,Station_A,0.25,6.57,7.8,28.5
2020-02-08,Station_B,0.38,5.29,8.1,28.0
2020-02-08,Station_C,0.24,6.96,7.8,27.3
2020-02-09,Station_A,0.17,5.15,7.6,26.5
2020-02-09,Station_B,0.14,6.28,7.6,27.4
2020-02-09,Station_C,0.24,6.34,7.6,26.8
2020-02-10,Station_A,0.15,5.56,7.6,26.4
2020-02-10,Station_B,0.24,5.41,7.8,28.0
2020-02-10,Station_C,0.11,6.6,7.9,26.3
2020-02-11,Station_A,0.38,5.12,7.7,29.2
2020-02-11,Station_B,0.16,5.42,7.8,27.9
2020-02-11,Station_C,0.21,5.93,8.0,26.1
2020-02-12,Station_A,0.31,6.79,7.9,28.1
2020-02-12,Station_B,0.23,6.07,7.7,27.1
2020-02-12,Station_C,0.11,5.64,7.6,27.3
2020-02-13,Station_A,0.37,6.19,8.0,29.2
2020-02-13,Station_B,0.13,6.07,7.9,29.0
2020-02-13,Station_C,0.14,5.57,7.8,28.6
2020-02-14,Station_A,0.21,6.97,7.9,26.9
2020-02-14,Station_B,0.15,5.49,7.6,26.7
2020-02-14,Station_C,0.15,6.79,7.6,28.1
2020-02-15,Station_A,0.39,5.22,7.8,29.9
2020-02-15,Station_B,0.35,5.52,7.6,28.7
2020-02-15,Station_C,0.27,6.14,7.7,29.1
2020-02-16,Station_A,0.2,5.85,7.9,27.0
2020-02-16,Station_B,0.28,5.58,7.9,26.6
2020-02-16,Station_C,0.26,5.1,7.7,26.5
2020-02-17,Station_A,0.4,5.64,8.1,27.0
2020-02-17,Station_B,0.33,6.19,7.8,27.6
2020-02-17,Station_C,0.38,6.66,8.2,26.5
2020-02-18,Station_A,0.38,5.36,7.5,29.0
2020-02-18,Station_B,0.35,5.28,8.1,26.8
2020-02-18,Station_C,0.15,6.63,8.0,28.1
2020-02-19,Station_A,0.36,5.78,8.1,27.8
2020-02-19,Station_B,0.24,5.6,8.0,28.0
2020-02-19,Station_C,0.37,5.77,7.9,29.6
2020-02-20,Station_A,0.14,6.88,7.9,27.3
2020-02-20,Station_B,0.34,6.24,7.9,29.6
2020-02-20,Station_C,0.15,5.62,7.7,29.0
2020-02-21,Station_A,0.27,6.52,8.1,27.4
2020-02-21,Station_B,0.13,6.69,7.6,27.6
2020-02-21,Station_C,0.14,5.46,8.0,28.9
2020-02-22,Station_A,0.31,6.09,7.7,27.4
2020-02-22,Station_B,0.37,6.17,7.8,27.8
2020-02-22,Station_C,0.15,6.17,7.9,28.4
2020-02-23,Station_A,0.36,6.86,7.9,28.8
2020-02-23,Station_B,0.31,5.31,7.9,28.4
2020-02-23,Station_C,0.32,6.87,8.1,27.8
2020-02-24,Station_A,0.4,6.68,7.6,29.7
2020-02-24,Station_B,0.26,6.18,7.8,26.2
2020-02-24,Station_C,0.34,5.01,7.7,27.6
2020-02-25,Station_A,0.38,5.69,7.7,29.0
2020-02-25,Station_B,0.17,5.9,7.6,26.7
2020-02-25,Station_C,0.23,6.83,7.8,28.3
2020-02-26,Station_A,0.1,6.33,7.6,29.8
2020-02-26,Station_B,0.22,5.17,8.2,28.0
2020-02-26,Station_C,0.12,6.5,7.6,29.6
2020-02-27,Station_A,0.16,5.07,7.8,28.3
2020-02-27,Station_B,0.33,5.91,7.9,27.8
2020-02-27,Station_C,0.27,5.31,7.6,29.4
2020-02-28,Station_A,0.21,5.54,8.0,27.6
2020-02-28,Station_B,0.15,6.43,8.0,26.1
2020-02-28,Station_C,0.17,6.34,7.5,26.4
2020-02-29,Station_A,0.15,6.31,7.7,26.4
2020-02-29,Station_B,0.32,6.71,8.1,27.6
